bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO PRIVACY PROGRAM,SUPPLIES AND MATERIALS,1000,1000,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,OTHER SERVICES,111500,11000,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,SUPPLIES AND MATERIALS,5048.21,4850.17,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,EQUIPMENT,150191.23,77607.38,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,TRAVEL,4,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,PRINTING AND REPRODUCTION,516.2,14,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,OTHER SERVICES,83708.35,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,SUPPLIES AND MATERIALS,26199.71,6569.46,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,EQUIPMENT,142358.86,101303.19,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,EQUIPMENT,76490.4,76490.4,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,TRANSPORTATION OF THINGS,125,125,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,SUPPLIES AND MATERIALS,273424.64,75410.27,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,EQUIPMENT,10244.78,599,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,OTHER SERVICES,795922,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO IT SERVICE MANAGEMENT,OTHER SERVICES,168365.76,101476.24,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,OTHER SERVICES,30338.66,27419.04,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPLIES AND MATERIALS,1412.96,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,EQUIPMENT,16613.96,7061.18,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE AUTH & MONITORING,OTHER SERVICES,12435.2,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE AUTH & MONITORING,SUPPLIES AND MATERIALS,822.5,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE AUTH & MONITORING,EQUIPMENT,184.5,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,SUPPLIES AND MATERIALS,19578.47,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,EQUIPMENT,317333.83,243491.89,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HRS COMMITTEE BROADCAST OPS,OTHER SERVICES,125000,67290.33,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,OTHER SERVICES,1749.3,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,SUPPLIES AND MATERIALS,28794.49,5275.56,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,EQUIPMENT,484006.34,417578.26,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,OTHER SERVICES,57524.92,57524.92,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,SUPPLIES AND MATERIALS,2655.44,257.51,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,EQUIPMENT,143493.6,21251.6,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,TRAVEL,5551.88,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,PRINTING AND REPRODUCTION,3499.16,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,OTHER SERVICES,3025,995,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,SUPPLIES AND MATERIALS,1218.99,1081.58,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE ARCHITECTURE,OTHER SERVICES,77021.25,22396.25,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE ARCHITECTURE,SUPPLIES AND MATERIALS,10766.5,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE ARCHITECTURE,EQUIPMENT,20463.48,20463.48,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CLOUD SERVICES,EQUIPMENT,109262.56,109262.56,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,RENT COMMUNICATION UTILITIES,401617.63,195669.38,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,OTHER SERVICES,138527.63,109769.51,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,SUPPLIES AND MATERIALS,2465.55,537,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,EQUIPMENT,1365537.7,730179.78,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,TRAVEL,290.67,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,OTHER SERVICES,2889502.65,2668554.14,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,SUPPLIES AND MATERIALS,550087.64,372820.5,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,EQUIPMENT,3625484.85,1519547.34,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,RENT COMMUNICATION UTILITIES,1290076.28,135496.25,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,OTHER SERVICES,104485.87,67395.82,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,SUPPLIES AND MATERIALS,5707.21,5619.32,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,EQUIPMENT,906979.68,906979.68,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,OTHER SERVICES,397898.35,102556.22,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,SUPPLIES AND MATERIALS,28960.62,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,EQUIPMENT,683314.68,332264.02,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONSOLIDATED SERVICE CENTER,OTHER SERVICES,20557.79,12317.88,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONSOLIDATED SERVICE CENTER,EQUIPMENT,26634.13,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,OTHER SERVICES,15721.65,3744.1,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,SUPPLIES AND MATERIALS,13304.1,1085.34,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,EQUIPMENT,232004.38,97416.44,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,TRANSPORTATION OF THINGS,1514.82,691.6,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,RENT COMMUNICATION UTILITIES,20.35,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,SUPPLIES AND MATERIALS,54598.17,20019.49,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,EQUIPMENT,58123.11,19734.62,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,TRANSPORTATION OF THINGS,72.61,72.61,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,SUPPLIES AND MATERIALS,52041.64,18403.68,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,EQUIPMENT,329417.51,53978.09,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CENTRAL WAREHOUSE/RCVG INIT,OTHER SERVICES,707562.38,227318.83,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,OTHER SERVICES,14623.75,14623.75,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,EQUIPMENT,513948.75,23313.02,,,,,116,2019Q3,false
