bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
M001206,2019 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,21345.07,16401.51,Joseph D. Morelle,D,NY,25,116,2019Q3,true
M001206,2019 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,50653.64,17021.36,Joseph D. Morelle,D,NY,25,116,2019Q3,true
M001206,2019 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12632.66,5737.51,Joseph D. Morelle,D,NY,25,116,2019Q3,true
M001206,2019 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2222.78,722.49,Joseph D. Morelle,D,NY,25,116,2019Q3,true
M001206,2019 HON. JOSEPH D. MORELLE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11140,8160,Joseph D. Morelle,D,NY,25,116,2019Q3,true
M001196,2019 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1564.71,356.97,Seth Moulton,D,MA,6,116,2019Q3,true
M001196,2019 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,777205.81,271261.11,Seth Moulton,D,MA,6,116,2019Q3,true
M001196,2019 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,18871.72,3162.18,Seth Moulton,D,MA,6,116,2019Q3,true
M001196,2019 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,57219.34,19504.85,Seth Moulton,D,MA,6,116,2019Q3,true
M001196,2019 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2459,929.45,Seth Moulton,D,MA,6,116,2019Q3,true
M001196,2019 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,43278.99,17706.5,Seth Moulton,D,MA,6,116,2019Q3,true
M001196,2019 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12721.31,4053.22,Seth Moulton,D,MA,6,116,2019Q3,true
M001196,2019 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5373.65,1700.5,Seth Moulton,D,MA,6,116,2019Q3,true
M001196,2019 HON. SETH MOULTON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15760.08,9380.08,Seth Moulton,D,MA,6,116,2019Q3,true
M001207,2019 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,333.13,134.48,Debbie Mucarsel-Powell,D,FL,26,116,2019Q3,true
M001207,2019 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,636357.7,230013.9,Debbie Mucarsel-Powell,D,FL,26,116,2019Q3,true
M001207,2019 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,31955.47,11690.72,Debbie Mucarsel-Powell,D,FL,26,116,2019Q3,true
M001207,2019 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,70037.09,21747.07,Debbie Mucarsel-Powell,D,FL,26,116,2019Q3,true
M001207,2019 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2691.33,604.34,Debbie Mucarsel-Powell,D,FL,26,116,2019Q3,true
M001207,2019 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31746.67,11205,Debbie Mucarsel-Powell,D,FL,26,116,2019Q3,true
M001207,2019 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4063.83,935.72,Debbie Mucarsel-Powell,D,FL,26,116,2019Q3,true
M001207,2019 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4225.52,1557.65,Debbie Mucarsel-Powell,D,FL,26,116,2019Q3,true
M001207,2019 HON. DEBBIE MUCARSEL-POWELL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6400,5680,Debbie Mucarsel-Powell,D,FL,26,116,2019Q3,true
M001190,2019 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2875.66,444.53,Markwayne Mullin,R,OK,2,116,2019Q3,true
M001190,2019 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,710702.76,233083.33,Markwayne Mullin,R,OK,2,116,2019Q3,true
M001190,2019 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,80490.9,27567.33,Markwayne Mullin,R,OK,2,116,2019Q3,true
M001190,2019 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,71341.87,23373.6,Markwayne Mullin,R,OK,2,116,2019Q3,true
M001190,2019 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,7214.99,187.75,Markwayne Mullin,R,OK,2,116,2019Q3,true
M001190,2019 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,42118.91,17459.91,Markwayne Mullin,R,OK,2,116,2019Q3,true
M001190,2019 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7743.9,1759.87,Markwayne Mullin,R,OK,2,116,2019Q3,true
M001190,2019 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1584,528,Markwayne Mullin,R,OK,2,116,2019Q3,true
M001190,2019 HON. MARKWAYNE MULLIN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12150,8150,Markwayne Mullin,R,OK,2,116,2019Q3,true
M001210,2019 HON. GREGORY FRANCIS MURPHY MD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,16531.95,16531.95,Gregory F. Murphy,R,NC,3,116,2019Q3,true
M001210,2019 HON. GREGORY FRANCIS MURPHY MD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,85.09,85.09,Gregory F. Murphy,R,NC,3,116,2019Q3,true
M001202,2019 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,12377.68,109.57,Stephanie N. Murphy,D,FL,7,116,2019Q3,true
M001202,2019 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,669404.54,225333.27,Stephanie N. Murphy,D,FL,7,116,2019Q3,true
M001202,2019 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24585.85,7923.57,Stephanie N. Murphy,D,FL,7,116,2019Q3,true
M001202,2019 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,117100.96,42651.76,Stephanie N. Murphy,D,FL,7,116,2019Q3,true
M001202,2019 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3744.76,573.97,Stephanie N. Murphy,D,FL,7,116,2019Q3,true
M001202,2019 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38554.91,11545,Stephanie N. Murphy,D,FL,7,116,2019Q3,true
M001202,2019 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15526.36,4361.87,Stephanie N. Murphy,D,FL,7,116,2019Q3,true
M001202,2019 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6290.92,2311.5,Stephanie N. Murphy,D,FL,7,116,2019Q3,true
M001202,2019 HON. STEPHANIE N. MURPHY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13700.11,9513.45,Stephanie N. Murphy,D,FL,7,116,2019Q3,true
N000002,2019 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,74.94,18.31,Jerrold Nadler,D,NY,10,116,2019Q3,true
N000002,2019 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,710877.72,249233.62,Jerrold Nadler,D,NY,10,116,2019Q3,true
N000002,2019 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,16018.69,6494.28,Jerrold Nadler,D,NY,10,116,2019Q3,true
N000002,2019 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,159006.6,64259.98,Jerrold Nadler,D,NY,10,116,2019Q3,true
N000002,2019 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2714.76,2415,Jerrold Nadler,D,NY,10,116,2019Q3,true
N000002,2019 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32165.99,10833.69,Jerrold Nadler,D,NY,10,116,2019Q3,true
N000002,2019 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9411.25,3319.31,Jerrold Nadler,D,NY,10,116,2019Q3,true
N000002,2019 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,12608.22,11565.52,Jerrold Nadler,D,NY,10,116,2019Q3,true
N000002,2019 HON. JERROLD NADLER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13569.45,7152.78,Jerrold Nadler,D,NY,10,116,2019Q3,true
N000179,2019 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,437.08,126.13,Grace F. Napolitano,D,CA,32,116,2019Q3,true
N000179,2019 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,773363.85,259249.98,Grace F. Napolitano,D,CA,32,116,2019Q3,true
N000179,2019 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,40321.3,10783.57,Grace F. Napolitano,D,CA,32,116,2019Q3,true
N000179,2019 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,66796.78,22094.66,Grace F. Napolitano,D,CA,32,116,2019Q3,true
N000179,2019 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1667.37,234.13,Grace F. Napolitano,D,CA,32,116,2019Q3,true
N000179,2019 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17055,5685,Grace F. Napolitano,D,CA,32,116,2019Q3,true
N000179,2019 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12766.63,3212.52,Grace F. Napolitano,D,CA,32,116,2019Q3,true
N000179,2019 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1715.84,521.96,Grace F. Napolitano,D,CA,32,116,2019Q3,true
N000179,2019 HON. GRACE F. NAPOLITANO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,10591.54,8714.35,Grace F. Napolitano,D,CA,32,116,2019Q3,true
N000015,2019 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2472.49,939.11,Richard E. Neal,D,MA,1,116,2019Q3,true
N000015,2019 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,806921.27,270971.12,Richard E. Neal,D,MA,1,116,2019Q3,true
N000015,2019 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15177.24,4822.25,Richard E. Neal,D,MA,1,116,2019Q3,true
N000015,2019 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,87187.89,34050.26,Richard E. Neal,D,MA,1,116,2019Q3,true
N000015,2019 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3707.15,2232.7,Richard E. Neal,D,MA,1,116,2019Q3,true
N000015,2019 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35706.37,11551.71,Richard E. Neal,D,MA,1,116,2019Q3,true
N000015,2019 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11378.27,4197.95,Richard E. Neal,D,MA,1,116,2019Q3,true
N000015,2019 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5906.98,2696.5,Richard E. Neal,D,MA,1,116,2019Q3,true
N000015,2019 HON. RICHARD R. NEAL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,16343.61,8663.61,Richard E. Neal,D,MA,1,116,2019Q3,true
N000191,2019 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,33526.6,30960.93,Joe Neguse,D,CO,2,116,2019Q3,true
N000191,2019 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,676373.37,244611.13,Joe Neguse,D,CO,2,116,2019Q3,true
N000191,2019 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,45145.07,18321.53,Joe Neguse,D,CO,2,116,2019Q3,true
N000191,2019 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,84526.83,32993.69,Joe Neguse,D,CO,2,116,2019Q3,true
N000191,2019 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,28357.59,26439.55,Joe Neguse,D,CO,2,116,2019Q3,true
N000191,2019 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31954.44,10639,Joe Neguse,D,CO,2,116,2019Q3,true
N000191,2019 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,23028.06,3145.87,Joe Neguse,D,CO,2,116,2019Q3,true
N000191,2019 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4515.39,1943.65,Joe Neguse,D,CO,2,116,2019Q3,true
N000191,2019 HON. JOE NEGUSE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11827.5,6944.5,Joe Neguse,D,CO,2,116,2019Q3,true
N000189,2019 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4188.82,362.34,Dan Newhouse,R,WA,4,116,2019Q3,true
N000189,2019 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,625650,212499.99,Dan Newhouse,R,WA,4,116,2019Q3,true
N000189,2019 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,52171.98,20980.87,Dan Newhouse,R,WA,4,116,2019Q3,true
N000189,2019 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,72973.18,22307.5,Dan Newhouse,R,WA,4,116,2019Q3,true
N000189,2019 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,12535.35,11289.35,Dan Newhouse,R,WA,4,116,2019Q3,true
N000189,2019 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37013.4,12091.64,Dan Newhouse,R,WA,4,116,2019Q3,true
N000189,2019 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8582.04,3353.47,Dan Newhouse,R,WA,4,116,2019Q3,true
N000189,2019 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10480.64,2838.3,Dan Newhouse,R,WA,4,116,2019Q3,true
N000189,2019 HON. DAN NEWHOUSE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5763.33,3313.33,Dan Newhouse,R,WA,4,116,2019Q3,true
N000188,2019 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,20018.94,18752.26,Donald Norcross,D,NJ,1,116,2019Q3,true
N000188,2019 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,665905.06,229752.79,Donald Norcross,D,NJ,1,116,2019Q3,true
N000188,2019 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10654.76,5311.27,Donald Norcross,D,NJ,1,116,2019Q3,true
N000188,2019 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,62971.99,24187.06,Donald Norcross,D,NJ,1,116,2019Q3,true
N000188,2019 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,33874.58,20431.23,Donald Norcross,D,NJ,1,116,2019Q3,true
N000188,2019 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34449,10287,Donald Norcross,D,NJ,1,116,2019Q3,true
N000188,2019 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10162.35,5182.65,Donald Norcross,D,NJ,1,116,2019Q3,true
N000188,2019 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5336.75,1112.25,Donald Norcross,D,NJ,1,116,2019Q3,true
N000188,2019 HON. DONALD NORCROSS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6300,6300,Donald Norcross,D,NJ,1,116,2019Q3,true
N000190,2019 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,7436.06,6254.35,Ralph Norman,R,SC,5,116,2019Q3,true
N000190,2019 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,636413.81,206477.77,Ralph Norman,R,SC,5,116,2019Q3,true
N000190,2019 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,43093.05,10333.03,Ralph Norman,R,SC,5,116,2019Q3,true
N000190,2019 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,57406.09,31307.01,Ralph Norman,R,SC,5,116,2019Q3,true
N000190,2019 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,34120.33,18421.55,Ralph Norman,R,SC,5,116,2019Q3,true
N000190,2019 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,41350,18900,Ralph Norman,R,SC,5,116,2019Q3,true
N000190,2019 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18450.4,6372.17,Ralph Norman,R,SC,5,116,2019Q3,true
N000190,2019 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2991.58,987.42,Ralph Norman,R,SC,5,116,2019Q3,true
N000190,2019 HON. RALPH NORMAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6883.33,3900,Ralph Norman,R,SC,5,116,2019Q3,true
N000147,2019 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,146.16,156.01,Eleanor Holmes Norton,D,DC,0,116,2019Q3,true
N000147,2019 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,733521.57,240154.29,Eleanor Holmes Norton,D,DC,0,116,2019Q3,true
N000147,2019 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1752.83,531.11,Eleanor Holmes Norton,D,DC,0,116,2019Q3,true
N000147,2019 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,109633.71,50515.84,Eleanor Holmes Norton,D,DC,0,116,2019Q3,true
N000147,2019 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6062.59,1971.18,Eleanor Holmes Norton,D,DC,0,116,2019Q3,true
N000147,2019 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,42649.23,19046.73,Eleanor Holmes Norton,D,DC,0,116,2019Q3,true
N000147,2019 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9527.72,1726.79,Eleanor Holmes Norton,D,DC,0,116,2019Q3,true
N000147,2019 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5071.93,1176,Eleanor Holmes Norton,D,DC,0,116,2019Q3,true
N000147,2019 HON. ELEANOR HOLMES NORTON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5633.33,4051.66,Eleanor Holmes Norton,D,DC,0,116,2019Q3,true
N000181,2019 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,50922.44,24241.34,Devin Nunes,R,CA,22,116,2019Q3,true
N000181,2019 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,548038.92,184233.34,Devin Nunes,R,CA,22,116,2019Q3,true
N000181,2019 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,54061.84,21413.27,Devin Nunes,R,CA,22,116,2019Q3,true
N000181,2019 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,64195,23678.11,Devin Nunes,R,CA,22,116,2019Q3,true
N000181,2019 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,13280.79,546.44,Devin Nunes,R,CA,22,116,2019Q3,true
N000181,2019 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,29020,6735,Devin Nunes,R,CA,22,116,2019Q3,true
N000181,2019 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6193.69,2926.61,Devin Nunes,R,CA,22,116,2019Q3,true
N000181,2019 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2682,894,Devin Nunes,R,CA,22,116,2019Q3,true
N000181,2019 HON. DEVIN NUNES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8476.65,4649.99,Devin Nunes,R,CA,22,116,2019Q3,true
O000171,2019 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2892.83,438.36,Tom O’Halleran,D,AZ,1,116,2019Q3,true
O000171,2019 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,750008.27,252005.14,Tom O’Halleran,D,AZ,1,116,2019Q3,true
O000171,2019 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,78379.41,30007.55,Tom O’Halleran,D,AZ,1,116,2019Q3,true
O000171,2019 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,62670.91,21417.82,Tom O’Halleran,D,AZ,1,116,2019Q3,true
O000171,2019 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,14366.02,5468.41,Tom O’Halleran,D,AZ,1,116,2019Q3,true
O000171,2019 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23378.57,7665,Tom O’Halleran,D,AZ,1,116,2019Q3,true
O000171,2019 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7413.4,3040.17,Tom O’Halleran,D,AZ,1,116,2019Q3,true
O000171,2019 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1350,450,Tom O’Halleran,D,AZ,1,116,2019Q3,true
O000171,2019 HON. TOM O'HALLERAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12416.65,6349.99,Tom O’Halleran,D,AZ,1,116,2019Q3,true
O000172,2019 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,306.54,203.67,Alexandria Ocasio-Cortez,D,NY,14,116,2019Q3,true
O000172,2019 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,598256.28,241089.7,Alexandria Ocasio-Cortez,D,NY,14,116,2019Q3,true
O000172,2019 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27421.08,7547.02,Alexandria Ocasio-Cortez,D,NY,14,116,2019Q3,true
O000172,2019 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,90066.12,32334.46,Alexandria Ocasio-Cortez,D,NY,14,116,2019Q3,true
O000172,2019 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3856.33,2045.1,Alexandria Ocasio-Cortez,D,NY,14,116,2019Q3,true
O000172,2019 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38925.99,15330.99,Alexandria Ocasio-Cortez,D,NY,14,116,2019Q3,true
O000172,2019 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,22646.5,4947.08,Alexandria Ocasio-Cortez,D,NY,14,116,2019Q3,true
O000172,2019 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,18918.47,3671.78,Alexandria Ocasio-Cortez,D,NY,14,116,2019Q3,true
O000172,2019 HON. ALEXANDRIA OCASIO-CORTEZ,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8764,3597,Alexandria Ocasio-Cortez,D,NY,14,116,2019Q3,true
O000168,2019 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1007.07,466.47,Pete Olson,R,TX,22,116,2019Q3,true
O000168,2019 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,697419.13,239530.55,Pete Olson,R,TX,22,116,2019Q3,true
O000168,2019 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,46517.32,10929.57,Pete Olson,R,TX,22,116,2019Q3,true
O000168,2019 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,85513.04,27622.8,Pete Olson,R,TX,22,116,2019Q3,true
O000168,2019 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1089.54,379.45,Pete Olson,R,TX,22,116,2019Q3,true
O000168,2019 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21293.29,6213.58,Pete Olson,R,TX,22,116,2019Q3,true
